observed,location_details,county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed,year
"It was dark at the time. I was living on a road surrounded by woods. I went out to take my dog for a walk. Our driveway connected to a dirt road that ran up the side from the main rd. We walked to the end of the dirt road and along that road is a tree lining of woods. As we started heading back I looked over a noticed a tall figure staring at me at the edge of the woods. I couldn’t make out what it was. It was definitely taller than 7ft and stood on two legs. It had orangish eyes. I started walking back down the road towards my house and when I would stop it would stop an look at me. I would walk some more, so would the thing and then once I stopped it stopped and would look at me. At this point I was really freaked out so I yelled for my dog to run and we sprinted towards the house. When I finally got inside I looked down our driveway and across the road at the tree line and the figure was there still staring at me. I told my father but when he looked he saw nothing.","[Investigator Note:  For the Google Maps pin for the location of the figure seen in this incident, .]",Strafford County,New Hampshire,Fall,Report 69143: Dog walker reports being paralled at night along dirt road near Sunrise Lake,43.45844,-71.07906,2000-10-15,69143,Class B,drtrnx3gcb,70.04,53.855,37.67,44.33,0.58,0.17,0.59,0,0,NA,1015.2,Clear throughout the day.,3,10,306,7.28,2000
"Audio Experience only: Whoop, whoop, whoop, whoop, whoop, wooo.... Sunday, September 12, 2004 at about 03:00 AM I was woken up from a sound sleep by a very loud noise.  I listened for a while and tried to figure out what could make such a loud, repetitive noise.  It wasn't a coyote howl or fishercat screach, didn't sound like any owl I know of, wasn't a raccoon or tree rodent...  After 15 - 20 minutes, I went to sleep. My dog woke me with frightened barking at 4:00 AM when the sound was twice as loud and I knew the critter was within 100 feet of the house.  Also, there were two responding calls, one sounded fairly close and one was in the distance.  I got up to make sure the sheep were OK in their pasture with an electric fence around it and there was nothing by the barn where the goats were.  I flashed the light over to the chicken coop and nothing was there either.  I flashed the light throughout the yard and into the trees to see if there was any clue or any danger to the animals.  I saw nothing and while I shone the light, the calls ceased. All day I asked EVERYONE if they knew of any local animal that made the noise and repeated it all day long.  A friend suggested that I look it up on the internet.  I listened to all sorts of animal vocalizations with no luck.  When I finally typed in the words of the actual sound it was an identical match to this site!!!  I'm not saying I had a bigfoot encounter, but I definately encountered whatever the campers up in Lincoln, NH encountered last summer!!!  There may be a rational explaination and someone may know of an indigenous animal that makes that sound -- and trust that I will still try to find out what it is... but the sound will resonate in my memory -- as it was like no other animal/bird I've ever heard.  It was not too fast, nor garbled, it was incredibly loud and clear.  The dog was very nervous.",I would rather not give details as it was my home.,Rockingham County,New Hampshire,Summer,Report 9313: Vocalizations heard near Rockingham,43.05,-70.93333,2004-09-12,9313,Class B,drtscv5bmt,74.98,65.595,56.21,52.61,0.78,0.07,0.93,0,0,NA,1021.66,Partly cloudy in the morning.,6,8.82,203,1.6,2004
"Well it was a few weeks ago in Loudon, NH.  Me and my wife had just settled into a house nestled next to a farm.  It was night time no real overcast or anything.  From inside the house we heard what we thought was barking constantly.  We own several dogs so we were used to it.  this continued for about an hour or two then quieted down.  Later on that evening about 2am or so we heard the most bloodcurdling sound ever.  The only way i can describe it is like about 20 dogs all screaming and yaulping at once in a shrill chorused scream.  We haven't heard it again but it came from across the farmer's field in the woods across from The speedway.  I'd have to say the date was around January 10th or so.  We have heard other things too and seen plenty of deer...but never heading across the field.  We don't know what it was and did not see it at all.  We have seen shadows move down the dirt road we live on but figured it was just someone walking up the road. Maybe we're just paranoid...but i've lived in the woods here a long time and never heard anything like that before.",It happened in the woods across from the NH International Speedway in the areas between Loudon and Chichester or so...big patch of woods out there very rural all the way to winnepesaukee.,Merrimack County,New Hampshire,Winter,Report 1975: Couples hears late night scream in Loudon,43.28556,-71.46778,2001-01-10,1975,Class B,drtnjxyu8j,21.08,14.84,8.6,1.84,0.55,0.12,0.53,1e-4,1,snow,1011.39,Breezy in the morning and mostly cloudy overnight.,2,10,313,9.19,2001
"I had never thought of looking on the internet to report what my ex-girlfriend, a friend, and I saw one night. Didn't know a nationwide report site was on the net. At the time we were students at the local college. We drove one night out to Red Cloud campground, adjacent to Chadron State Park, and parked in a parking pad at a campsite.  We were in the car with the windows up. I recall the exact campsite.  It was a full moon on a fall night in September of 2003. The grass was still green.   This location is in the Pine Ridge, an escarpment, a part of Nebraska National Forest, just adjacent to Chadron State Park. We were parked facing up a ridge. We had been sitting for about a half an hour, when uphill in an area clear from some trees (this area is mostly covered by ponderosa pine trees), about 40 ft away we saw something on two feet run across our view out the front window, had to be running at least 30 miles an hour.  From the silhouette that we saw, it was very tall, not exceptionally bulky.  It had a rangy or sinewy build and looked muscular from the silhouette. It was a full moon, but there are no lights in or around this campground. It ran by way to fast to notice any hair features. We all looked at each other, like, ""What the f*** was that"".  We were all bewildered, and my girlfriend was really scared. I definitely knew we had witnessed something extraordinarily strange, and we got the hell out of there. We didn't even go around the loop to turn around because that was toward where it was running. Note that we knew there was no one at all parked or camping up there while we were there because we went around the loop upon entering.  We went back there the next day during the daylight to see where it would have been running.  There is a lot of brush, grass, stumps, and bushes where this thing was running through, and in my opinion, there is no human that can run that fast through there even in the daytime. I've told people I might have seen Bigfoot, but like most people, they just think I'm full of it.  I don't lie, and I would never have anticipated seeing something like that. As to my knowledge at that point, there were reports of Bigfoot in the Pacific Northwest area, not Nebraska.  I camped at the campground last summer with my current girlfriend.  Didn't see anything unusual, but got really bad vibes after revisiting my past memory.  We were the only one's camping out there.  Every other time we went camping out there it was with multiple people.","From Chadron, you head south on US hwy 385. You begin to climb from Chadron's level on the plain up onto the Ridge, first crossing Chadron Creek, passing Chadron State Park (on the right).  Red Cloud Campground is the first turnoff on the right just after Chadron State Park.  The elevation is around 3500 ft at this point.",Dawes County,Nebraska,Fall,Report 23046: Three witnesses observe large creature run in front of them while parked in Red Cloud State Park,42.69657,-103.0044,2003-09-15,23046,Class B,9xwfbhdmx9,81.52,64.095,46.67,34.68,0.46,0,0.66,0,0,NA,1013.21,Clear throughout the day.,7,10,215,2.77,2003
"BACK IN THE SUMMER OF 1977,MY HUSBAND AND I WERE LEAVING HIS UNCLES HOME LATE AT NIGHT.WE WERE IN THE AREA OF MENDEM,N.J.(I BELIEVE THIS IS THE CORRECT SPELLING.)WE WERE ON A VERY REMOTE DIRT ROAD.WE HAD MADE THIS TRIP TO MY HUSBANDS UNCLE NUMEROUS TIMES AND I ALWAYS ASKED MY HUSBAND TO LEAVE THE INTERIOR LIGHT ON IN THE CAR,BECAUSE IT WAS THAT BLACK AND SOME HOW,I FELT SAFER. THIS ONE NIGHT AS WE LEFT,WE SLOWLY WENT ALONG THIS REMOTE TRAIL SLOW AS USUAL WHEN SOME THING CAUGHT OUR EYE.""IT"" CAME FROM THE FRONT LEFT DRIVERS SIDE OF THE CAR,STOPPED DEAD CENTER IN THE MIDDLE OF OUR CAR WITH OUR HIGH BEAMS ON IT,AND THEN CONTINUED TO MOVE QUICKLY TO MY RIGHT INTO THE WOODS AGAIN. THIS HAPPENED SO QUICKLY,BUT MY HUSBAND AND I STOPPED THE CAR ALITTLE FURTHER UP TO ASK EACH OTHER WHAT WE JUST SAW.JUST FOR YOUR INFO,I AM A BELIEVER,AND MY HUSBAND IS THE SKEPTIC IN THE FAMILY.HE SAID EXACTLY WHAT I HAD BEEN DESCRIBING TO MYSELF: ABOUT 6 FEET TALL.HAIRY BROWN,WITH UNUSUALLY LONG ARMS THAT SEEM TO SWAY MORE LIKE AN APE.WHEN IT STOPPED IN THE MIDDLE OF THE ROAD DIRECTLY IN FRONT OF OUR CAR,IT'S FACE LOOKED MORE APE/MONKEY LIKE THAN HUMAN HOWEVER FEATURES WERE THERE THAT MADE IT APPEAR HUMAN LIKE.IT RAN/WALKED QUICKER ONCE IT SAW US. THIS HAPPENED SO MANY YEARS AGO,BUT IT SEEMS LIKE YESTERDAY TO US. MY HUSBAND IS NOW A BELIEVER BECAUSE HE WITNESSED SOMETHING VERY STRANGE.MANY MANY YEARS LATER WHILE BROWSING THROUGH A NATIONAL GEOGRAPHIC MAGAZINE,I SPOTTED A PHOTO OF SOME PRIMATES.ONE IN PARTICULAR WAS VERY SIMILAR TO WHAT WE SAW THAT NIGHT IN NEW JERSEY. I AM NOT ONE TO WRITE IN,AND EVEN AFTER WE TOLD MY HUSBANDS UNCLE WHAT WE SAW THE FOLLOWING DAY,HE LAUGHED AND SAID IT WAS PROBABLY A BROWN BEAR.WE DON'T KNOW MUCH ABOUT BEAR,BUT I HAVE NEVER SEEN A BEAR WITH ARMS THIS LONG SWINGING THEM SIDE TO SIDE. SO WHAT WAS IT? MAYBE SOMEDAY WE WILL FIND OUT. I AM SHARING THIS EXPERIENCE WITH YOU BECAUSE WHAT WE SAW BACK IN 1977,WAS SIMILAR TO A ""BIG FOOT"" THAN ANY OTHER ANIMAL WE HAVE EVER SEEN,OR READ ABOUT.WE'RE OLD ENOUGH NOW TO TAKE A GOOD ""RIBBING""FROM OUR FRIENDS,BUT IN 77,WE BASICALLY TOLD VERY FEW PEOPLE WHAT WE SAW THAT NIGHT. THANK YOU.",I AM WRITING TO YOU AT 1:30 AM. MY HUSBAND IS SLEEPING.HE COULD GIVE YOU EXACT LOCATIONS AS HE WAS THE DRIVER. I BELIEVE THE AREA WAS CALLED MENDEM/MENDAM...NEAR BERNARDSVILLE. SHOULD YOU NEED ADDITIONAL LOCATION INFO I WILL GLADLY HAVE MY HUSBAND PROVIDE IT FOR YOU.,Somerset County,New Jersey,Summer,"Report 2750: Driving along a secluded road at night, couple's car almost strikes creature crossing road",40.7446,-74.6215,2004-04-23,2750,Class A,dr4zvcq63p,58.57,52.1,45.63,50.05,0.82,0.9,0.13,0.0026,1,rain,1018.26,Light rain overnight.,4,9.77,50,3.45,2004
"On a friday night in October of 1969 at 9:30pm,  me and another person were sitting in a car on Serviss Ave in North Brunswick, New Jersey. I was 15 years old at the time, and had just come home from a night out. We were parked on the right hand side of the dead end side of the block.  There are two houses on the right side of the street, then there is woods, and then Lawrence Brook. The moonlight was shining from behind the car towards the brook. While talking I glanced up towards the brook when I seen two red eyes in the middle of the road about 35 to 40feet away. Immediatly I said ""whats that thing in the road?"" The driver turned his headlights on and thats when we could see that this thing was not a dog or, person, or bear.  This thing was hunched down on the ground, and from the ground to the top of its head, it looked to be three and a half to four feet tall. After the headlights were turned on it sat there for about thirty second. We saw that it was hairy with three to four inch length reddish/brown hair and while standing it was about five feet tall. After the thirty seconds it stood up turned around and sort of waddled into the woods at a snails pace.  We guessed it was ticked off by the headlights, and good thing because we were scared and locked our doors. Once it went into the woods I exited the car and ran into the house. The driver threw the car into reverse backed out into Nassay Street, threw the car into gear and sped off down to Livingstone Ave. After I went inside my house I told my mother, whose answer was it must have been a dog or bear, and thought nothing of it.  This was a one time occurance and I have not seen anything like it since, but I did hear other things when I lived there.",Take Livingston Ave  to Nassau St go up one block to Serviss Ave make a left and a you are there.,Middlesex County,New Jersey,Fall,Report 2271: Night time sighting by New Brunswick resident near Lawrence Brook,40.478,-74.4611,2005-12-11,2271,Class A,dr5n38g16w,38.56,32.735,26.91,22.96,0.77,0.41,0.37,5e-4,0.39,snow,1003.75,Mostly cloudy starting in the afternoon.,2,7.05,246,1.75,2005
"It was about three or four months (April or May) ago in the late afternoon, about 5-ish when my brother and I and a few friends were hanging out on our back deck. My brother saw it first. I saw nothing until my brother gave me a better point of reference, then I saw it. It was sitting on a large rock on the hill side, a grey ape-like creature. My brother went and grabbed his BB gun. He took a shot in the general direction of it. It was seated in profile to and turned its body to look at us. It then got up and climbed a large rock face (about six to ten feet high) behind it. It was climbing hand over hand like a man or ape would. Once it reached the top it walked off over the ridge and out of sight. It walked with a bit of a hunch, not completely upright like a man but not like any other animal I’ve ever seen. It was no bear nor a coyote.",(edited out - home residence),Morris County,New Jersey,Spring,"Report 12065: Group observes animal in daylight, one mile from Federal Hill near Riverdale",40.9934,-74.3249,2005-12-10,12065,Class A,dr71hww7b7,33.37,27,20.63,17.88,0.68,0.07,0.33,1e-4,0.13,snow,1016.27,Partly cloudy overnight.,2,9.52,229,1.71,2005
"It was at least 2:00 am, in January or Februrary. The temprature was in the low teens. I was dropping a friend off at his home, the back of which was separated from the Highway (Rt.72) by about 150 to 200 yards of woods and a dirt road. There are no homes or streetlights on this part of Rt.72. The east side of Rt.72 is completely untouched woods for miles into Burlington county. This area was the end of a development that had never been finished.  Work stopped in the late 1970's, as part of the Pinelands Preservation Act. There was a dirt road about 30 yards behind the house,which connected to the East into a grid of unfinished, unpaved roads. At that time his house was the last house on that road, completely surrounded by woods. We were talking beside the car under the streetlight for at least 20 minutes, when we both heard a woman screaming.  It sounded like it was coming from the unpaved road behind his house. We both thought someone was in trouble, so we ran inside his house and grabbed a flashlight, knife, and a hatchet.  We ran into a trail along the right side of the house, (south-east) which led out to the dirt road. We could hear the screams getting louder and more to our right in the woods.| We were only about 40 paces into the woods, when I started feeling very uneasy, and I started to realize that this wasn't a woman screaming. I could hear it now to my right, more like a loud whistling now (not ahead in the dirt road like I had thought) about 15 yards away. We both stopped and listened for a few seconds, my friend had the flashlight scanning the woods which was new growth oak saplings, blueberry bushes (waist high) and 12' to 14'ft. scrubby pine saplings(20 years old?). I could hear it heaving as it breathed in and exhaled out with a very loud high pitched whistling, we couldn't see anything but It was very close to our right as we faced southeast -- within 10 yards. My friend immediately turned toward me and said ""that ain't no girl screaming"" and quickly moved past me back toward the house. I was standing still and listening, it was still screaming right at us. At this point I knew it wasn't a girl at all, more like a loud whistling is how I could best describe it. There was no noise other than the screams. There was no movement at all. No sound of struggle. I thought that it might be a wounded animal, like a deer or something. It was so loud and the deep breathing noises were from a much bigger animal than a fox. I could distinctly hear it breathing in and out rapidly to make the screaming noise.  I remember thinking that it's dangerous to be this close to a large wounded animal.  It was not like anything I had ever heard in my life. I turned and headed back, looking and listening. It was still screaming, but did not follow. We immediately called the police and reported it. Within 15 minutes we went back outside, now the screams were further toward the south-east, very faint now. It had definitely moved off quickly. The screams faded totally within 10 minutes. We listened for at least another 45 minutes but it was gone. I don't know what the police had done after we'd called. I had always thought it was a wounded animal of some kind.",NA,Ocean County,New Jersey,Winter,Report 12825: Possible vocalizations heard in undeveloped section of Ocean County,39.7384,-74.2975,2005-11-13,12825,Class B,dr54j64hyy,61.55,59.05,56.55,48.9,0.79,0.19,0.42,0,0,NA,1024.06,Partly cloudy starting in the evening.,3,8.54,204,6.56,2005
"I don't know what I saw, but I have been hunting the woods of New Jersey for over 16 years, and I have never come across a thing like this. I got to my tree stand just before light as I do every time I hunt the mornings.  It was the rut, when bucks chase does to mate.  So the woods had a musky ordor to it.  But this was a smell that was differnt than the smell of deer urine.  This smell was more strong and foul. I hunted the morning but didn't see a deer.  Around 10 oclock I called my buddy who already got down that I was getting down.  He told me he was going to get breakfest.  So I got down and slowly hunted back to the truck.  I took the long way back on an old logging trail.  As I hit the logging trail that strong ordor came back.  I thought that maybe I should knock an arrow.  As I began to knock the arrow I felt that a deer stepped out onto the trail, but it wasn't a deer, I don't know what it was it wasn't a bear either. It looked at me , stopped for a second and turned back and walked back from where it came from.  It was about seven or eight feet tall about four or five hundred pounds may be more with long dark hair and short brown hair on his neck and head.  I paused for a second thinking may be this was a joke be played on me, but my buddy said he left to get food and he is no where near as big as the thing I just saw.  I called my buddy but our phones were out of range.  I ran out of the woods in the opposite direction as the thing. I thew my bow and nap sack of so I could run faster.  We later went back with a farmer who new the land better and also brought his 12 gauge. We didn't find anything when we went back. The ground was too hard and leafy for obvious tracks.",Little mountaininess very rocky,Passaic County,New Jersey,Fall,Report 10918: Hunter has early morning encounter 8 miles north of Riverdale,41.08335,-74.321,2005-12-10,10918,Class A,dr71sycpg5,32.99,25.915,18.84,17.68,0.69,0.05,0.33,0,0,NA,1016.06,Partly cloudy overnight.,2,9.6,225,1.3,2005
"I work for (removed at request of witness). The headquarters dispatcher reported some customers were without water in the Rocksprings community. I responded and went up to the storage tank site which is located approximately 1 1/2 miles Northwest of the Sagebrush Bar. I checked the tank level and found them to be empty so I proceeded back towards Highway 264, the road to the tanksite is a dirt road. I was about 150 yards from the highway, the only light was from my unit's headlights shining straight down the road. My mind was traveling around the water system thinking about the scenarios that would be causing this water outage.About 20 yards from the truck I saw something walk out from behind a Juniper tree that is located on the west side of the dirt road. Right when it stepped out into the lights of the truck, it hesitated and it looked towards me,I stopped the truck at that moment. It then started to walk faster, picked up it's stride a little more. It took about 4 steps walking across that road, it did not cross the road in a straight manner, it crossed at an angle on the road and walked behind another Juniper tree that is located on the East side of the dirt road. I had stopped the truck as soon as it had stepped out onto the road, my visual contact time with what I now refer to as ""the Creature"" was about 15 seconds. I waited there to see if it would come back out or if I could see any type of movement, I did not see any. I sat there for awhile thinking,what did I just see ? My mind went through an elimination process, I thought, that was not a horse, a cow, a deer or an elk, 4 of the large animals that are prevalent in this area. The creature had a shiny brown hairy coat, it was approximately 7 feet tall, it's face was like a monkey's and the eyes were big and black, like a big teardrop shape. it's head was small and it came to a long point towards the back. The torso was skinny, narrow shoulders, the arms and legs were about 3to 4 inches in diameter, it had elbows and knees but I did not see any hands, fingers or a type of foot or toe structure. The hand and foot area were just rounded off, like nubbed. The only closest description would be like the way an amputee's arm or leg might look, rounded off.It took about 4 steps for it to cross the road,it's gait was long. I sat there about 30 seconds wondering if I should start driving forward towards the highway or turn around and use the other turnoff further west. Also at that time, a chill came over me and I hurriedly locked both doors, I did not even want to look out towared my side window because a fear had come aver me at that point. I just revved the engine and drove fast towards the highway. I drove fast down to the pumphouse and found the problem, it was a power outage to the wellsite. I had to go back to Ft. Defiance to pick up some fuses, I did not want to go back out to the area alone, so I had the dispatcher contact the Electric Line standby and I went back to the well along with him and  I got the well back in service. The next day, my co-worker and I went back to the site and found the footprints, he had a digital camera and he took some photos of the footprints. The footprints were about 4 to 5 ft apart, we tracked it to the East into the brush area. That night I went home and drew what I had seen and told my children of the incident.",NA,McKinley County,New Mexico,Fall,Report 10266: Witness sees unknown animal cross dirt road near New Mexico State Route 264,35.63736,-108.8676,2002-09-17,10266,Class A,9w6ddxt49j,74.6,64.69999999999999,54.8,39.32,0.44,0.41,0.38,NA,NA,rain,1005.9,Mostly cloudy in the morning and breezy until evening.,8,9.79,232,12.65,2002
